"participant_code","mode_survey","assign_date","assign_week_day","actual_date","actual_week_day","actual_hour","age_or_range","age_or_mid_range","gender","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","num_usual_contacts","total_hrs_participant","age_weights","houseSize","distance","weights"
11417589,0,100,7,100.494004629669,1,11,1,"41-65",1,1,1,"secondary",1,"10-19k",2,8,1,1,3,15.1166666666667,12.2399020807834,"3",0.628995182019928,1
11724464,1,334,3,368.530196759268,0,12,2,"41-65",1,999,999,"unknown",999,"unknown",999,999,1,1,4,2.175,11.3636363636364,"4",0.734449975906213,1
11772427,0,79,7,96.5345949074253,0,12,2,"0-10",0,999,999,"primary",999,"unknown",1,7,1,1,4,9.08333333333333,23.5294117647059,"4",0.272183866207816,1
11776171,0,374,1,375.47293981479,0,11,1,"41-65",1,1,1,"postsec",2,">=40k",1,14,1,1,4,20.6166666666667,10.6837606837607,"4",0.219935679894782,1
11837502,1,320,3,351.70674768521,1,16,1,">65",1,999,5,"primary",999,"<10k",1,14,1,1,4,5.61666666666667,7.96178343949044,"4",0.996121511074331,1
11841028,1,13,4,21.7664583333535,0,18,1,"11-19",0,999,4,"secondary",2,"unknown",1,14,1,1,4,44.2916666666667,20.0400801603206,"4",0.116446163135303,1
11870454,1,336,5,348.531666666619,0,12,1,"41-65",1,1,5,"secondary",1,"<10k",1,17,999,1,3,15.6583333333333,11.3636363636364,"3",0.755412688314284,1
12037142,1,320,3,364.504004629678,0,12,1,"41-65",1,999,5,"primary",2,"<10k",2,6,1,1,3,1.23333333333333,18.9035916824197,"3",0.905397289930902,1
12180851,0,331,7,332.964351851842,0,23,2,"0-10",1,999,999,"primary",999,"unknown",1,5,1,1,3,4,27.9329608938547,"3",0.261410369802102,1
12265942,0,331,7,332.109212962911,0,2,2,"41-65",0,1,3,"secondary",1,">=40k",1,5,1,1,3,6.89166666666667,12.2399020807834,"3",0.434628009840604,1
12394988,1,129,1,259.58251157403,0,13,1,"41-65",0,999,6,"primary",999,"unknown",1,18,1,1,4,15.1,14.5348837209302,"4",0.702248589288214,1
12628787,0,334,3,330.902615740779,1,21,2,"21-40",0,1,1,"postsec",999,"unknown",2,14,1,1,4,1.39166666666667,12.3762376237624,"4",0.0377873883024986,1
12628960,1,113,6,113.632407407393,1,15,1,"41-65",0,1,1,"primary",1,"10-19k",1,9,1,1,5,25.25,14.5348837209302,">=5",0.858961006139556,1
12689003,1,317,7,354.735543981427,0,17,1,"0-10",0,999,4,"unknown",1,"<10k",1,6,999,1,5,11.7333333333333,23.5294117647059,">=5",0.665196662087246,1
12751877,1,109,2,118.444351851824,0,10,1,">65",1,999,6,"secondary",1,"<10k",2,14,1,1,1,1.31666666666667,7.96178343949044,"1",0.990741900888322,1
12808049,0,375,2,371.761574074044,0,18,1,"0-10",0,999,1,"primary",999,">=40k",1,6,1,1,5,11.5,23.5294117647059,">=5",0.312557022757446,1
12818986,1,373,7,391.518101851805,0,12,2,"41-65",0,1,999,"primary",1,"10-19k",1,17,999,1,3,23,12.2399020807834,"3",0.896127361291811,1
12935940,0,350,5,349.151666666614,0,3,2,"21-40",0,1,1,"secondary",1,"10-19k",2,10,1,1,4,0.2,15.3374233128834,"4",0.454956865412513,1
13019341,1,25,2,28.7455902778311,0,17,2,"41-65",1,1,5,"secondary",2,">=40k",1,5,1,1,2,6.70833333333333,10.6837606837607,"2",0.421145262701189,1
13229962,1,336,5,364.568981481483,0,13,2,"41-65",0,1,1,"postsec",1,">=40k",1,17,1,1,5,35.9666666666667,11.3636363636364,">=5",0.229531077973024,1
13310788,0,27,4,27.8146412037313,0,19,1,"41-65",1,1,1,"postsec",1,"10-19k",1,7,1,1,3,2.5,11.3636363636364,"3",0.482050456268401,1
13317389,1,333,2,368.693993055611,0,16,1,">65",0,999,6,"secondary",2,"<10k",2,14,1,1,3,7.7,7.96178343949044,"3",0.992003621638441,1
13346161,1,359,7,400.493333333288,1,11,1,"0-10",0,999,4,"unknown",2,"10-19k",1,7,1,1,3,20.1166666666667,27.9329608938547,"3",0.475357828741105,1
13376654,0,395,1,394.527372685145,1,12,2,"11-19",0,1,4,"primary",999,"unknown",1,14,1,1,4,11.5,20.0400801603206,"4",0.193229297150138,1
13643403,1,320,3,337.777326388867,1,18,1,">65",0,999,999,"unknown",999,"unknown",2,17,1,1,2,0.4,7.96178343949044,"2",0.981859932095487,1
13750943,1,206,1,259.771342592547,0,18,2,"41-65",1,999,6,"unknown",1,"10-19k",1,3,1,1,2,2.46666666666667,11.3636363636364,"2",0.902164096347555,1
13775858,0,366,7,364.488587962929,0,11,1,"0-10",1,999,999,"unknown",999,"unknown",1,16,1,1,4,12,23.5294117647059,"4",0.304855785230678,1
13851014,1,32,2,83.4342708333861,0,10,1,"21-40",0,1,1,"secondary",1,"<10k",2,7,1,1,2,8.80833333333333,15.3374233128834,"2",0.425577442572635,1
13884579,1,102,2,124.555821759277,0,13,1,">65",0,999,6,"unknown",999,"<10k",2,7,1,1,4,0.291666666666667,7.96178343949044,"4",0.997904999685242,1
13949447,0,314,4,312.768865740742,0,18,1,"11-19",0,999,999,"primary",2,"unknown",1,7,1,1,5,1.23333333333333,20.0400801603206,">=5",0.309421557046586,1
14017158,1,355,3,369.537916666712,0,12,1,"41-65",0,1,2,"postsec",1,"10-19k",1,8,1,1,3,35.725,11.3636363636364,"3",0.472664522119898,1
14055983,0,365,6,368.733368055546,0,17,1,"0-10",0,1,4,"primary",1,"<10k",1,17,1,1,5,16.625,23.5294117647059,">=5",0.637578910887742,1
14066034,1,25,2,28.6976967592491,0,16,1,">65",1,999,999,"secondary",2,"10-19k",2,14,1,1,2,26.4083333333333,7.96178343949044,"2",0.990982314461958,1
14182942,0,356,4,358.720173611073,1,17,2,"41-65",0,1,1,"postsec",1,"20-39k",1,17,1,1,3,25.9416666666667,10.6837606837607,"3",0.243990353377317,1
14184688,0,351,6,350.913541666698,0,21,2,"0-10",0,999,999,"primary",999,"unknown",1,13,1,1,1,2.5,27.9329608938547,"1",0.220685218522012,1
14400868,1,333,2,354.588958333363,0,14,1,"41-65",0,1,1,"secondary",2,"<10k",2,2,1,1,3,6.05833333333333,14.5348837209302,"3",0.748394875644313,1
14558526,0,141,6,141.677986111143,1,16,1,"0-10",1,999,999,"primary",2,"10-19k",1,1,1,1,6,4,23.5294117647059,">=5",0.523835005118731,1
14679892,1,331,7,413.429976851796,0,10,1,"41-65",0,999,6,"postsec",2,"unknown",1,14,1,1,5,4.51666666666667,18.9035916824197,">=5",0.211878845163738,1
14703807,0,91,5,116.785312499967,0,18,2,"21-40",0,1,1,"postsec",999,"unknown",1,11,1,1,4,2.7,15.3374233128834,"4",0.0627597675321427,1
14732388,1,35,5,83.4398842592491,0,10,1,"41-65",1,999,6,"postsec",1,"10-19k",1,2,1,1,1,20.775,18.9035916824197,"1",0.436043832519535,1
14963423,0,356,4,359.499166666646,1,11,2,"21-40",1,1,1,"secondary",1,"10-19k",1,3,1,1,5,26.2583333333333,12.970168612192,">=5",0.358019015254679,1
15207770,1,32,2,83.6319675926352,0,15,1,">65",1,999,999,"primary",2,"unknown",2,2,1,1,3,6.09166666666667,7.96178343949044,"3",0.989372399069782,1
15329748,0,334,3,340.023067129659,0,0,1,"41-65",1,999,999,"secondary",999,"unknown",997,16,1,1,2,12.7,14.5348837209302,"2",0.396337280541258,1
15392694,1,86,7,111.767951388843,0,18,1,"41-65",1,1,1,"secondary",2,"10-19k",1,5,1,1,2,21.725,10.6837606837607,"2",0.72488838654082,1
15608543,0,350,5,350.893761574058,0,21,1,"21-40",1,1,1,"postsec",1,"10-19k",1,17,1,1,2,26.5,12.970168612192,"2",0.188189538802874,1
15806456,1,320,3,355.49145833333,0,11,2,"41-65",1,999,5,"secondary",999,"unknown",2,5,1,1,2,24.25,10.6837606837607,"2",0.396337280541258,1
16030864,1,60,2,83.7744907407323,0,18,1,"0-10",0,999,4,"primary",999,"20-39k",1,9,1,1,3,12.5416666666667,27.9329608938547,"3",0.456479929549097,1
16192203,1,317,7,354.523020833381,0,12,1,">65",1,999,6,"primary",1,"<10k",2,17,1,1,3,0.208333333333333,7.96178343949044,"3",0.997500983515824,1
16291889,0,357,5,359.14883101848,1,3,1,"21-40",0,1,1,"secondary",1,"20-39k",2,9,1,1,5,0.816666666666667,12.9032258064516,">=5",0.247976354994249,1
16305255,0,350,5,349.558368055616,0,13,1,"41-65",0,1,1,"secondary",1,"<10k",1,3,1,1,2,0.158333333333333,10.6837606837607,"2",0.730540682361292,1
16387639,0,210,5,210.66512731486,0,15,1,"11-19",0,999,999,"primary",2,"20-39k",1,14,1,1,4,7.11666666666667,16.4473684210526,"4",0.50155593877776,1
16420388,1,213,1,260.538344907458,1,12,1,"41-65",0,999,6,"secondary",999,">=40k",2,14,1,1,5,8.2,18.9035916824197,">=5",0.351780198797923,1
16541874,0,356,4,361.432002314832,0,10,2,"21-40",0,1,1,"postsec",1,"10-19k",1,6,1,1,4,0.4,12.9032258064516,"4",0.211812503370664,1
16682693,0,351,6,351.372141203727,1,8,2,"41-65",0,2,6,"postsec",1,"<10k",1,16,1,1,3,0.0416666666666667,14.5348837209302,"3",0.359637699101682,1
16688087,0,340,2,338.786921296269,1,18,1,"11-19",0,1,4,"secondary",1,"<10k",1,5,1,1,3,0.2,16.4473684210526,"3",0.231987842433329,1
16993408,1,352,7,406.7552893518,0,18,1,"41-65",0,999,6,"primary",1,"<10k",1,12,1,1,5,17.8333333333333,18.9035916824197,">=5",0.917319377499333,1
17003087,1,234,1,265.470173611073,0,11,1,">65",1,999,6,"primary",999,"unknown",1,5,1,1,1,7.46666666666667,7.96178343949044,"1",0.987235132953063,1
17004422,1,145,3,173.455601851805,0,10,1,"21-40",0,1,1,"postsec",1,"20-39k",1,2,1,1,4,30.85,12.3762376237624,"4",0.141623058753699,1
17257781,0,42,5,41.6755092592211,0,16,1,"41-65",0,1,1,"postsec",1,">=40k",1,8,1,1,4,5.86666666666667,12.2399020807834,"4",0.213549144946005,1
17429347,0,91,5,91.781134259305,0,18,1,"21-40",0,999,999,"postsec",2,"20-39k",1,11,1,1,4,10.7416666666667,12.970168612192,"4",0.141623058753699,1
17471372,0,331,7,330.856273148092,1,20,2,"41-65",1,999,999,"secondary",999,"unknown",2,17,1,1,4,22.1166666666667,14.5348837209302,"4",0.316699801100296,1
17521021,1,216,4,264.715057870373,0,17,2,"41-65",1,999,6,"secondary",999,"unknown",999,13,1,1,4,13.8583333333333,18.9035916824197,"4",0.441433734002036,1
17604612,0,375,2,387.582418981474,1,13,1,"0-10",0,1,4,"primary",999,"unknown",1,13,1,1,4,21,27.9329608938547,"4",0.179873428091393,1
17706280,1,349,4,369.54850694444,0,13,1,"0-10",1,1,4,"primary",2,"20-39k",1,10,997,1,5,2.89166666666667,27.9329608938547,">=5",0.51212382808597,1
17800285,1,336,5,348.706458333298,0,16,2,"41-65",1,999,5,"secondary",1,"<10k",1,10,1,1,3,31.6583333333333,10.6837606837607,"3",0.755412688314284,1
17824455,0,374,1,381.447025462985,0,10,2,"0-10",0,999,999,"primary",999,"unknown",1,2,1,1,4,12,27.9329608938547,"4",0.272183866207816,1
17890548,1,145,3,259.5026967593,0,12,1,"21-40",0,999,6,"secondary",1,"<10k",1,16,1,1,3,4.08333333333333,12.3762376237624,"3",0.44838057431018,1
17892155,0,27,4,41.4300231481902,0,10,2,"21-40",0,1,1,"postsec",1,"20-39k",1,1,1,1,3,0.0416666666666667,12.9032258064516,"3",0.130723519991485,1
17897806,1,320,3,355.497569444473,0,11,1,"41-65",0,999,6,"secondary",1,"10-19k",1,12,1,1,2,2.85833333333333,18.9035916824197,"2",0.717322489734799,1
17930358,0,374,1,374.571666666656,0,13,2,"11-19",0,1,4,"secondary",1,"<10k",1,1,1,1,5,2.5,20.0400801603206,">=5",0.382705310779558,1
18343372,1,98,5,259.549780092551,0,13,1,"41-65",1,999,5,"primary",2,"10-19k",1,10,1,1,5,34.9416666666667,12.2399020807834,">=5",0.915129867146904,1
18382054,0,353,1,352.602881944389,1,14,2,"41-65",0,1,3,"secondary",999,"unknown",1,2,1,1,3,3.11666666666667,10.6837606837607,"3",0.289193478878087,1
18520203,1,145,3,166.745451388881,0,17,1,">65",0,999,6,"secondary",2,"10-19k",2,13,1,1,3,13.125,7.96178343949044,"3",0.991461453997558,1
18546643,0,340,2,338.617858796264,1,14,1,"41-65",1,999,999,"primary",999,"unknown",1,7,1,1,3,16,14.5348837209302,"3",0.566924370678364,1
18555473,0,352,7,355.574826388853,0,13,2,"41-65",0,2,6,"secondary",2,"<10k",1,17,1,1,3,6.5,18.9035916824197,"3",0.748394875644313,1
18723147,0,213,1,236.719004629646,0,17,2,"41-65",0,1,1,"postsec",2,">=40k",1,18,1,1,8,20,12.2399020807834,">=5",0.282346097923716,1
19089426,0,353,1,353.829293981427,0,19,1,"21-40",1,1,1,"postsec",1,"20-39k",2,8,997,2,5,0.158333333333333,12.9032258064516,">=5",0.158217639110931,1
19094963,1,23,7,28.7398495370289,0,17,1,"41-65",0,1,1,"secondary",2,"20-39k",1,14,1,1,5,72.5916666666667,12.2399020807834,">=5",0.672934183383733,1
19369265,0,180,3,180.518761574058,0,12,2,"41-65",1,999,999,"secondary",999,"unknown",1,15,4,1,6,0.158333333333333,10.6837606837607,">=5",0.487517437298248,1
19402654,0,350,5,349.824918981525,0,19,2,"41-65",1,999,999,"primary",999,"unknown",1,17,1,1,3,0.0833333333333333,11.3636363636364,"3",0.690604766677704,1
19470267,1,145,3,166.695497685228,0,16,1,"41-65",1,999,5,"primary",2,"20-39k",1,17,1,1,4,9.04166666666667,14.5348837209302,"4",0.857832340144731,1
19555774,1,373,7,400.518530092551,1,12,2,"21-40",1,1,1,"postsec",1,"20-39k",1,14,1,1,3,15.2,12.970168612192,"3",0.0838931305801551,1
19633207,1,317,7,354.730960648158,0,17,1,"21-40",1,2,4,"postsec",1,"<10k",1,10,1,1,4,1.09166666666667,16.4473684210526,"4",0.229654370125443,1
19940509,1,352,7,369.522060185205,0,12,1,"0-10",1,999,999,"primary",2,"20-39k",1,13,1,1,4,13.1583333333333,23.5294117647059,"4",0.488952413602823,1
19992114,0,331,7,331.957442129613,1,22,1,"21-40",0,1,1,"postsec",1,"20-39k",1,17,1,1,4,6.94166666666667,12.9032258064516,"4",0.0882245126487788,1
20162067,0,16,7,14.9419907407137,0,22,2,"21-40",1,1,1,"secondary",1,"10-19k",1,13,1,1,4,9,12.9032258064516,"4",0.46430076772504,1
20456667,0,332,1,331.002418981516,1,0,2,"0-10",0,999,999,"unknown",2,"20-39k",1,13,1,1,5,0.158333333333333,27.9329608938547,">=5",0.401052004419009,1
20542936,1,336,5,364.515648148139,0,12,1,"41-65",0,999,6,"postsec",1,"20-39k",1,2,1,1,4,10.9,18.9035916824197,"4",0.37646296963396,1
20602985,0,81,2,82.764444444445,0,18,1,"41-65",1,2,6,"postsec",1,"20-39k",1,18,1,1,2,27.275,18.9035916824197,"2",0.342455396260207,1
20931383,1,397,3,400.513726851903,1,12,1,"0-10",1,999,4,"primary",999,"unknown",1,16,1,1,4,25.0416666666667,23.5294117647059,"4",0.185490374432433,1
21006078,1,333,2,354.549884259235,0,13,1,">65",0,999,6,"postsec",2,"20-39k",2,10,1,1,4,0.125,18.9035916824197,"4",0.96180399310181,1
21070328,0,85,6,85.571956018568,1,13,1,"41-65",1,1,3,"postsec",1,"10-19k",1,3,1,1,3,3.975,11.3636363636364,"3",0.353094690680219,1
21091572,0,331,7,331.79667824076,1,19,2,"41-65",1,999,999,"secondary",1,"10-19k",1,17,1,1,1,0.0833333333333333,11.3636363636364,"1",0.584798604738185,1
21228817,0,280,5,278.707071759272,0,16,1,"21-40",1,1,1,"unknown",999,"unknown",1,16,1,1,4,0.725,12.9032258064516,"4",0.430461817315745,1
21493813,1,81,2,91.7194097222527,0,17,1,">65",0,999,6,"secondary",999,"unknown",1,5,1,1,2,4,7.96178343949044,"2",0.963466078720426,1
21572472,0,204,6,204.882141203736,1,21,2,"41-65",1,999,999,"secondary",2,">=40k",1,13,1,1,4,15.8916666666667,12.2399020807834,"4",0.339325009171743,1
21654428,0,323,6,321.629502314841,0,15,1,"21-40",1,1,4,"secondary",1,"<10k",2,14,1,1,6,11.55,15.3374233128834,">=5",0.527101682847404,1
21975579,1,29,6,111.772152777761,0,18,1,"41-65",1,2,6,"primary",2,"<10k",1,17,1,1,2,3.11666666666667,14.5348837209302,"2",0.897153128302617,1
22119973,0,323,6,321.508333333302,0,12,1,"21-40",0,1,1,"postsec",1,"<10k",1,9,1,1,4,9.70833333333333,15.3374233128834,"4",0.223066323339638,1
22148144,0,36,6,35.6365972221829,0,15,2,"41-65",0,1,1,"postsec",1,">=40k",1,18,1,1,5,31.5,12.2399020807834,">=5",0.229531077973024,1
22301029,1,349,4,368.740601851838,0,17,1,"41-65",0,999,6,"secondary",1,"20-39k",1,13,1,1,2,3.7,14.5348837209302,"2",0.609063890233191,1
22430958,0,356,4,355.824675925891,0,19,2,"41-65",0,1,1,"secondary",999,"unknown",1,13,1,1,4,0.616666666666667,10.6837606837607,"4",0.432178760797715,1
22804641,1,352,7,371.432199074072,0,10,2,"0-10",1,1,4,"primary",999,"unknown",1,15,1,1,3,14.5,23.5294117647059,"3",0.261410369802102,1
22886585,0,375,2,370.700636574067,0,16,1,"11-19",0,999,999,"primary",999,"unknown",1,2,1,1,4,0.358333333333333,27.9329608938547,"4",0.289970501207966,1
22985548,1,349,4,368.729131944478,0,17,1,"11-19",1,1,4,"primary",2,"20-39k",1,16,1,1,4,43.7916666666667,27.9329608938547,"4",0.51095968885958,1
23007476,0,86,7,84.7115277778357,0,17,1,"41-65",0,1,3,"postsec",2,"20-39k",1,13,1,1,5,13.0166666666667,12.3762376237624,">=5",0.398459954309361,1
23117844,0,366,7,366.915381944389,1,21,2,"11-19",1,999,999,"primary",999,"unknown",1,18,1,1,4,17,20.0400801603206,"4",0.199162028374115,1
23221606,0,352,7,352.744004629669,1,17,1,"0-10",0,999,999,"primary",999,"unknown",1,4,1,1,5,8.71666666666667,27.9329608938547,">=5",0.193956641476047,1
23440991,0,389,2,389.923645833274,0,22,2,"0-10",1,1,4,"primary",999,"unknown",1,6,1,1,4,6.625,27.9329608938547,"4",0.279700314021079,1
23499032,1,373,7,391.513252314762,0,12,1,"21-40",0,1,1,"postsec",1,"20-39k",2,9,1,1,5,20.725,12.970168612192,">=5",0.153271147549997,1
23601144,1,352,7,369.437615740695,0,10,1,"41-65",0,1,1,"secondary",2,"20-39k",1,1,1,1,3,10.7083333333333,18.9035916824197,"3",0.630900378470017,1
23631969,0,375,2,376.919594907435,0,22,1,"41-65",0,999,999,"postsec",999,"unknown",1,7,1,1,5,14,12.2399020807834,">=5",0.211878845163738,1
23718206,0,141,6,139.425752314855,0,10,1,"11-19",1,999,999,"secondary",2,"20-39k",1,16,1,1,4,0.475,16.4473684210526,"4",0.252155316453423,1
23764485,0,31,1,31.4192708333721,0,10,1,"11-19",0,999,999,"secondary",999,"unknown",1,5,1,1,4,6.5,16.4473684210526,"4",0.116446163135303,1
23919020,0,27,4,33.5896296296269,0,14,2,"21-40",1,1,3,"secondary",1,"10-19k",2,13,1,1,4,6.81666666666667,12.3762376237624,"4",0.46430076772504,1
24024370,1,349,4,354.463136574021,0,11,2,"21-40",0,1,1,"postsec",1,"unknown",1,2,1,1,4,30.3166666666667,15.3374233128834,"4",0.0627597675321427,1
24024711,1,145,3,259.480879629613,0,11,1,"41-65",1,1,1,"primary",1,"unknown",1,2,1,1,3,25.3833333333333,11.3636363636364,"3",0.690604766677704,1
24149384,0,328,4,328.941412037006,0,22,1,"21-40",1,1,1,"postsec",1,"10-19k",1,12,1,1,5,3.08333333333333,15.3374233128834,">=5",0.234385752930903,1
24248656,0,331,7,427.530381944496,0,12,1,"41-65",1,2,5,"postsec",999,"unknown",1,1,1,1,4,12,10.6837606837607,"4",0.202827123369723,1
24370596,1,379,6,400.648680555518,1,15,1,"0-10",0,999,4,"primary",999,"unknown",1,9,1,1,4,22.8916666666667,27.9329608938547,"4",0.179873428091393,1
24445376,1,98,5,118.783506944426,0,18,1,"41-65",0,999,6,"secondary",2,"20-39k",1,6,1,1,6,6.26666666666667,14.5348837209302,">=5",0.693001321509095,1
24498627,0,28,5,27.4114930555224,0,9,2,"41-65",1,1,1,"secondary",999,"unknown",1,2,1,1,4,18.5,11.3636363636364,"4",0.441433734002036,1
24533540,0,328,4,328.845324074035,0,20,2,"0-10",0,1,4,"primary",1,"<10k",1,1,1,1,3,0.0416666666666667,27.9329608938547,"3",0.593744439202591,1
24577058,1,23,7,28.7600115740206,0,18,1,"41-65",1,999,5,"secondary",2,"10-19k",1,6,1,1,3,8.24166666666667,14.5348837209302,"3",0.742985336594096,1
24638255,0,332,1,334.166458333377,0,3,2,"21-40",1,1,5,"secondary",2,"20-39k",1,6,1,1,4,8,12.970168612192,"4",0.347311004316069,1
24730187,1,336,5,354.497256944422,0,11,1,"41-65",1,2,2,"secondary",2,"10-19k",2,6,1,1,5,0.0833333333333333,10.6837606837607,">=5",0.776771078762066,1
24760713,1,18,2,25.5346527778311,0,12,1,"41-65",0,1,1,"secondary",1,"10-19k",1,3,1,1,2,2.65833333333333,11.3636363636364,"2",0.717322489734799,1
25074113,0,387,7,386.945370370406,1,22,1,"11-19",1,999,999,"primary",999,"unknown",1,6,1,1,5,1.39166666666667,20.0400801603206,">=5",0.214360715545696,1
25281029,1,101,1,110.515972222202,0,12,1,"41-65",1,2,1,"secondary",2,"10-19k",1,3,1,1,2,5.475,14.5348837209302,"2",0.72488838654082,1
25300496,1,352,7,370.460312500014,0,11,1,"0-10",0,999,4,"primary",2,"<10k",2,11,1,1,5,40.7583333333333,23.5294117647059,">=5",0.637578910887742,1
25328987,0,328,4,328.821400462999,0,19,2,"41-65",1,999,999,"secondary",999,"unknown",1,13,1,1,2,4,12.2399020807834,"2",0.396337280541258,1
25419195,0,19,3,20.0534375000279,0,1,1,"21-40",0,1,1,"postsec",999,"unknown",1,11,1,1,4,0.441666666666667,12.3762376237624,"4",0.0627597675321427,1
25993392,0,81,2,83.7159375000047,0,17,1,"41-65",0,1,1,"secondary",2,"20-39k",1,17,1,1,3,20.1666666666667,10.6837606837607,"3",0.630900378470017,1
26015614,1,145,3,252.498252314865,0,11,1,"41-65",0,999,6,"secondary",2,">=40k",2,18,1,1,4,7.83333333333333,18.9035916824197,"4",0.457529825799297,1
26075094,1,113,6,113.641134259291,1,15,1,"41-65",0,1,3,"primary",1,"10-19k",1,14,1,999,2,1.74166666666667,14.5348837209302,"2",0.821798462938318,1
26354694,1,349,4,369.62553240743,0,15,1,"21-40",1,1,1,"postsec",2,"20-39k",1,2,1,1,5,48.2333333333333,12.970168612192,">=5",0.158217639110931,1
26616425,0,370,4,371.011087963008,0,0,1,"0-10",0,1,4,"primary",1,"<10k",1,17,1,1,4,4,27.9329608938547,"4",0.61589698366556,1
26742090,1,32,2,36.7867824074347,1,18,1,">65",1,999,6,"secondary",999,"<10k",999,14,1,1,2,2.40833333333333,7.96178343949044,"2",0.985684917509756,1
26937464,1,28,5,32.7223379629431,0,17,1,">65",0,1,3,"secondary",1,">=40k",997,13,1,1,3,36.1333333333333,7.96178343949044,"3",0.969753891259518,1
27041623,1,102,2,105.781840277836,0,18,1,">65",0,999,6,"postsec",999,"unknown",2,17,1,1,2,13.0666666666667,7.96178343949044,"2",0.894629211043696,1
27076603,1,198,7,259.761724537006,0,18,1,"41-65",1,1,1,"primary",999,"<10k",1,11,1,1,3,6.175,14.5348837209302,"3",0.905397289930902,1
27250942,0,351,6,348.824444444384,0,19,2,"21-40",0,1,1,"postsec",1,"10-19k",1,15,1,1,3,6.5,15.3374233128834,"3",0.196749243892774,1
27571683,1,336,5,364.500613425975,0,12,1,"41-65",1,999,999,"secondary",999,"unknown",2,18,1,1,3,6.5,10.6837606837607,"3",0.418715722448436,1
27608939,1,23,7,28.7839467593003,0,18,1,"41-65",0,999,999,"primary",999,"unknown",1,3,1,1,4,4.81666666666667,10.6837606837607,"4",0.702248589288214,1
27715859,1,373,7,400.536296296283,1,12,1,"21-40",0,1,1,"postsec",1,"20-39k",1,14,1,1,4,28.3083333333333,12.970168612192,"4",0.0882245126487788,1
27743004,0,334,3,334.938217592542,0,22,1,"21-40",1,1,1,"postsec",999,"10-19k",1,12,1,1,4,13.9333333333333,12.9032258064516,"4",0.218161508577712,1
27992971,0,328,4,326.806979166693,0,19,1,"41-65",0,2,6,"secondary",2,"10-19k",1,15,1,1,6,2.5,18.9035916824197,">=5",0.78617613514555,1
28028420,0,213,1,210.758495370392,0,18,2,"11-19",1,999,999,"postsec",2,"20-39k",1,17,1,1,5,16,16.4473684210526,">=5",0.106422130401404,1
28241619,1,320,3,354.433101851842,0,10,2,"41-65",0,999,6,"primary",1,"<10k",1,13,1,1,2,14,18.9035916824197,"2",0.893629536076131,1
28294664,0,350,5,348.851597222267,0,20,1,"41-65",1,999,999,"secondary",999,"unknown",1,999,1,1,4,2.5,10.6837606837607,"4",0.441433734002036,1
